BOROUGH NM,Zip Codes,TOTAL SEVEN MAJOR FELONY OFFENSES
Bronx,10467,356
Bronx,10469,327
Bronx,10470,259
Bronx,10471,245
Bronx,10464,191
Brooklyn,11224,431
Brooklyn,11225,429
Brooklyn,11226,417
Brooklyn,11237,391
Brooklyn,11238,379
Manhattan,10013,289
Manhattan,10014,185
Manhattan,10025,157
Manhattan,10026,109
Manhattan,10027,91
Queens,11106,309
Queens,11354,281
Queens,11372,191
Queens,11373,91
Queens,11411,70
Staten Island,10311,108
Staten Island,10302,91
Staten Island,10307,51
Staten Island,10309,79
Staten Island,10315,47
